release_time,title,event_family,catalyst_category,country,source,calendar_id,unit,scale,previous,forecast,actual,previous_value,forecast_value,actual_value,surprise,surprise_basis,surprise_side,raw_surprise_side,market_bias_side,market_bias_label,market_bias_score,market_rule_direction,market_rule_confidence,market_rule_note
2024-01-17 13:30:00,Retail Sales MM *,retail_sales,growth,US,Dept of Commerce,15773121 2024-01-17 13:30:00 +0000 UTC Retail Sales MM * United States-Retail Sales-Retail Sales MM *,%,,0.1%,0.4%,0.4%,0.1,0.4,0.4,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,0.0,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-01-18 13:30:00,Building Permits: Number *,other,other,US,Dept of Commerce,15773028 2024-01-18 13:30:00 +0000 UTC Building Permits: Number * United States-House Starts-Building Permits: Number *,Number of,M,1.46M,1.48M,1.495M,1460000.0,1480000.0,1495000.0,15000.0,actual_vs_forecast,positive,positive,market_unknown,mixed,0.0,unknown,0.0,No reliable one-number market direction rule; treat as a volatility catalyst.
2024-01-18 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835306 2024-01-18 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,198K,207K,194K,198000.0,207000.0,194000.0,-13000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-01-19 15:00:00,Existing Home Sales,home_sales,growth,US,NAR,15710874 2024-01-19 15:00:00 +0000 UTC Existing Home Sales United States-Existing Homes-Existing Home Sales,Number of,M,3.91M,3.82M,3.88M,3910000.0,3820000.0,3880000.0,60000.0,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-01-24 14:45:00,S&P Global Comp Flash PMI,ism_pmi,growth,US,Markit,15821344 2024-01-24 14:45:00 +0000 UTC S&P Global Comp Flash PMI United States-Composite PMI-S&P Global Comp Flash PMI,Index (diffusion),,,,,,,,,unknown,flat,flat,market_neutral,neutral,0.0,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-01-25 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835307 2024-01-25 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,194K,200K,221K,194000.0,200000.0,221000.0,21000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-01-30 15:00:00,JOLTS Job Openings*,labor,labor,US,BLS,15678589 2024-01-30 15:00:00 +0000 UTC JOLTS Job Openings* United States-Job Openings-JOLTS Job Openings*,Person,M,8.931M,8.75M,8.889M,8931000.0,8750000.0,8889000.0,139000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-01-31 13:15:00,ADP National Employment*,labor,labor,US,ADP,15792057 2024-01-31 13:15:00 +0000 UTC ADP National Employment* United States-ADP-ADP National Employment*,Person,K,158K,145K,111K,158000.0,145000.0,111000.0,-34000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-01-31 19:00:00,Fed Funds Tgt Rate *,fomc_rates,central_bank,US,FOMC,15254967 2024-01-31 19:00:00 +0000 UTC Fed Funds Tgt Rate * United States-Fed policy decision-Fed Funds Tgt Rate *,%,,5.375%,,5.375%,5.375,,5.375,0.0,actual_vs_previous,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher rates or hawkish guidance are usually bearish for rate-sensitive equities.
2024-02-01 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835308 2024-02-01 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,221K,212K,225K,221000.0,212000.0,225000.0,13000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-02-01 15:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,15678605 2024-02-01 15:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,47.1,47,49.1,47.1,47.0,49.1,2.1000000000000014,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-02 13:30:00,Non-Farm Payrolls*,nonfarm_payrolls,labor,US,BLS,15772930 2024-02-02 13:30:00 +0000 UTC Non-Farm Payrolls* United States-Employment-Non-Farm Payrolls*,Person,K,290K,180K,256K,290000.0,180000.0,256000.0,76000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-02-02 13:30:00,Unemployment Rate*,unemployment_rate,labor,US,BLS,15772930 2024-02-02 13:30:00 +0000 UTC Unemployment Rate* United States-Employment-Unemployment Rate*,%,,3.7%,3.8%,3.7%,3.7,3.8,3.7,-0.09999999999999964,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-02-05 14:45:00,S&P Global Comp Final PMI,ism_pmi,growth,US,Markit,15824390 2024-02-05 14:45:00 +0000 UTC S&P Global Comp Final PMI United States-PMI-S&P Global Comp Final PMI,Index (diffusion),,50.9,,52,50.9,,52.0,1.1000000000000014,actual_vs_previous,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-05 15:00:00,ISM N-Mfg PMI,ism_pmi,growth,US,ISM,15732626 2024-02-05 15:00:00 +0000 UTC ISM N-Mfg PMI United States-ISM - non man-ISM N-Mfg PMI,Index,,50.5,52,53.4,50.5,52.0,53.4,1.3999999999999986,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-08 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835309 2024-02-08 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,225K,220K,213K,225000.0,220000.0,213000.0,-7000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-02-13 13:30:00,"CPI MM, SA*",cpi,inflation,US,BLS,"15772960 2024-02-13 13:30:00 +0000 UTC CPI MM, SA* United States-CPI-CPI MM, SA*",%,,0.2%,0.2%,0.3%,0.2,0.2,0.3,0.09999999999999998,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-02-13 13:30:00,"CPI YY, NSA*",cpi,inflation,US,BLS,"15772960 2024-02-13 13:30:00 +0000 UTC CPI YY, NSA* United States-CPI-CPI YY, NSA*",%,,3.4%,2.9%,3.1%,3.4,2.9,3.1,0.20000000000000018,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-02-13 13:30:00,"Core CPI MM, SA*",core_cpi,inflation,US,BLS,"15772960 2024-02-13 13:30:00 +0000 UTC Core CPI MM, SA* United States-CPI-Core CPI MM, SA*",%,,0.3%,0.3%,0.4%,0.3,0.3,0.4,0.10000000000000003,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-02-13 13:30:00,"Core CPI YY, NSA*",core_cpi,inflation,US,BLS,"15772960 2024-02-13 13:30:00 +0000 UTC Core CPI YY, NSA* United States-CPI-Core CPI YY, NSA*",%,,3.9%,3.7%,3.9%,3.9,3.7,3.9,0.19999999999999973,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-02-15 13:30:00,Retail Sales MM *,retail_sales,growth,US,Dept of Commerce,15773122 2024-02-15 13:30:00 +0000 UTC Retail Sales MM * United States-Retail Sales-Retail Sales MM *,%,,0.4%,-0.1%,-1.1%,0.4,-0.1,-1.1,-1.0,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-15 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835310 2024-02-15 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,213K,220K,211K,213000.0,220000.0,211000.0,-9000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-02-16 13:30:00,Building Permits: Number *,other,other,US,Dept of Commerce,15773029 2024-02-16 13:30:00 +0000 UTC Building Permits: Number * United States-House Starts-Building Permits: Number *,Number of,M,1.495M,1.509M,1.47M,1495000.0,1509000.0,1470000.0,-39000.0,actual_vs_forecast,negative,negative,market_unknown,mixed,-0.0,unknown,0.0,No reliable one-number market direction rule; treat as a volatility catalyst.
2024-02-22 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835311 2024-02-22 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,211K,218K,200K,211000.0,218000.0,200000.0,-18000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-02-22 14:45:00,S&P Global Comp Flash PMI,ism_pmi,growth,US,Markit,15821361 2024-02-22 14:45:00 +0000 UTC S&P Global Comp Flash PMI United States-Composite PMI-S&P Global Comp Flash PMI,Index (diffusion),,,,,,,,,unknown,flat,flat,market_neutral,neutral,0.0,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-22 15:00:00,Existing Home Sales,home_sales,growth,US,NAR,15818526 2024-02-22 15:00:00 +0000 UTC Existing Home Sales United States-Existing Homes-Existing Home Sales,Number of,M,3.88M,3.97M,4M,3880000.0,3970000.0,4000000.0,30000.0,actual_vs_forecast,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-02-29 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835312 2024-02-29 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,200K,210K,213K,200000.0,210000.0,213000.0,3000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-03-01 15:00:00,ISM Manufacturing PMI,ism_pmi,growth,US,ISM,15678606 2024-03-01 15:00:00 +0000 UTC ISM Manufacturing PMI United States-ISM - man-ISM Manufacturing PMI,Index,,49.1,49.5,47.8,49.1,49.5,47.8,-1.7000000000000028,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-03-05 14:45:00,S&P Global Comp Final PMI,ism_pmi,growth,US,Markit,15824391 2024-03-05 14:45:00 +0000 UTC S&P Global Comp Final PMI United States-PMI-S&P Global Comp Final PMI,Index (diffusion),,52,,52.5,52.0,,52.5,0.5,actual_vs_previous,positive,positive,market_positive,bullish,0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-03-05 15:00:00,ISM N-Mfg PMI,ism_pmi,growth,US,ISM,15732627 2024-03-05 15:00:00 +0000 UTC ISM N-Mfg PMI United States-ISM - non man-ISM N-Mfg PMI,Index,,53.4,53,52.6,53.4,53.0,52.6,-0.3999999999999986,actual_vs_forecast,negative,negative,market_negative,bearish,-0.7,higher_is_bullish,0.7,Stronger growth data is usually risk-on unless it renews inflation or Fed pressure.
2024-03-06 13:15:00,ADP National Employment*,labor,labor,US,ADP,15766448 2024-03-06 13:15:00 +0000 UTC ADP National Employment* United States-ADP-ADP National Employment*,Person,K,111K,150K,175K,111000.0,150000.0,175000.0,25000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-03-06 15:00:00,JOLTS Job Openings*,labor,labor,US,BLS,15864915 2024-03-06 15:00:00 +0000 UTC JOLTS Job Openings* United States-Job Openings-JOLTS Job Openings*,Person,M,8.889M,8.9M,8.748M,8889000.0,8900000.0,8748000.0,-152000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-03-07 13:30:00,Initial Jobless Clm*,jobless_claims,labor,US,Dept of Labor,15835327 2024-03-07 13:30:00 +0000 UTC Initial Jobless Clm* United States-Jobless-Initial Jobless Clm*,Person,K,213K,215K,210K,213000.0,215000.0,210000.0,-5000.0,actual_vs_forecast,negative,negative,market_positive,bullish,0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-03-08 13:30:00,Non-Farm Payrolls*,nonfarm_payrolls,labor,US,BLS,15772931 2024-03-08 13:30:00 +0000 UTC Non-Farm Payrolls* United States-Employment-Non-Farm Payrolls*,Person,K,256K,200K,236K,256000.0,200000.0,236000.0,36000.0,actual_vs_forecast,positive,positive,market_negative,bearish,-0.6,higher_is_mixed_bearish,0.6,Stronger payrolls can pressure NQ when the market reads them as higher-for-longer Fed policy.
2024-03-08 13:30:00,Unemployment Rate*,unemployment_rate,labor,US,BLS,15772931 2024-03-08 13:30:00 +0000 UTC Unemployment Rate* United States-Employment-Unemployment Rate*,%,,3.7%,3.7%,3.9%,3.7,3.7,3.9,0.19999999999999973,actual_vs_forecast,positive,positive,market_negative,bearish,-0.35,higher_is_mixed_bearish,0.35,"Higher unemployment or claims are mixed: dovish for rates, but bearish if growth fear dominates."
2024-03-12 12:30:00,"CPI MM, SA*",cpi,inflation,US,BLS,"15772961 2024-03-12 12:30:00 +0000 UTC CPI MM, SA* United States-CPI-CPI MM, SA*",%,,0.3%,0.4%,0.4%,0.3,0.4,0.4,0.0,actual_vs_forecast,flat,flat,market_neutral,neutral,-0.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-03-12 12:30:00,"CPI YY, NSA*",cpi,inflation,US,BLS,"15772961 2024-03-12 12:30:00 +0000 UTC CPI YY, NSA* United States-CPI-CPI YY, NSA*",%,,3.1%,3.1%,3.2%,3.1,3.1,3.2,0.10000000000000009,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
2024-03-12 12:30:00,"Core CPI MM, SA*",core_cpi,inflation,US,BLS,"15772961 2024-03-12 12:30:00 +0000 UTC Core CPI MM, SA* United States-CPI-Core CPI MM, SA*",%,,0.4%,0.3%,0.4%,0.4,0.3,0.4,0.10000000000000003,actual_vs_forecast,positive,positive,market_negative,bearish,-1.0,higher_is_bearish,1.0,Higher inflation is usually bearish for NQ because it can lift yields and reduce rate-cut odds.
